# This file: https://hgdownload.soe.ucsc.edu/hubs/UCSC_GI.assemblyHubList.txt
# last update: 2022-09-02, 2320 assemblies listed
#
# Providing a listing of assembly resources available for display in
# the UCSC Genome Browser.  Tab separated list currently with six columns,
# additional columns may be added in the futue.
# Construct a short URL with the accession name to display this assembly
# in the genome browser. For example: https://genome.ucsc.edu/h/GCA_003369685.2
#
# Note: a clade with suffix '(L)' is found in the 'legacy' set of assemblies.
# 'legacy' are assemblies that have become outdated and superseded by newer
# and better assemblies.
#
# currently clade groupings found in the GenArk are:
# birds fish fungi invertebrate mammals plants primates vertebrate viral
#
# where 'vertebrate' are the 'other' vertebrates not alreaded included in
#    birds fish mammals primates
#
# 'invertebrate' can include a broad range of organisms including single
#    cell eukaryotic protists etc.
#
# 'viral' currently includes most viruses of interest related to human
#         pathogens
#
# future plans to include selected sets of bacteria and archaea assemblies
#
# accession	assembly	scientific name	common name	taxonId	GenArk clade
GCA_000001905.1	Loxafr3.0	Loxodonta africana	African savanna elephant (2009 genbank)	9785	mammals(L)
GCA_000002305.1	EquCab2.0	Equus caballus	horse (Twilight 2007 genbank)	9796	mammals(L)
GCA_000003205.6	Btau_5.0.1	Bos taurus	cattle (Hereford 2015)	9913	mammals(L)
GCA_000003625.1	OryCun2.0	Oryctolagus cuniculus	rabbit (Thorbecke 2009 Broad genbank)	9986	mammals(L)
GCA_000146795.3	Nleu_3.0	Nomascus leucogenys	northern white-cheeked gibbon (2012 GGSC)	61853	primates(L)
GCA_000151735.1	Cavpor3.0	Cavia porcellus	domestic guinea pig (2N 2008 genbank)	10141	mammals(L)
GCA_000164785.2	C_hoffmanni-2.0.1	Choloepus hoffmanni	Hoffmann's two-fingered sloth	9358	mammals
GCA_000165445.3	Mmur_3.0	Microcebus murinus	gray mouse lemur genbank	30608	primates(L)
GCA_000208655.2	Dasnov3.0	Dasypus novemcinctus	nine-banded armadillo (3-136 2012 Baylor genbank)	9361	mammals(L)
GCA_000239315.1	MusPutFurMale1.0	Mustela putorius furo	domestic ferret (Sable 2011 Broad)	9669	mammals
GCA_000243295.1	TriManLat1.0	Trichechus manatus latirostris	Florida manatee (Lorelei 2012 genbank)	127582	mammals(L)
GCA_000247695.1	HetGla_female_1.0	Heterocephalus glaber	naked mole-rat (NMR 29 2012 genbank)	10181	mammals(L)
GCA_000247795.2	Bos_indicus_1.0	Bos indicus	zebu cattle (Nelore 2014 genbank)	9915	mammals(L)
GCA_000258655.2	panpan1.1	Pan paniscus	pygmy chimpanzee (Ulindi genbank 2015)	9597	primates(L)
GCA_000260255.1	OctDeg1.0	Octodon degus	degu (3935 2012 genbank)	10160	mammals(L)
GCA_000264685.2	Panu_3.0	Papio anubis	olive baboon (2017 HGSC genbank)	9555	primates(L)
GCA_000280705.1	JacJac1.0	Jaculus jaculus	lesser Egyptian jerboa (JJ0015 2012 genbank)	51337	mammals(L)
GCA_000283155.1	CerSimSim1.0	Ceratotherium simum simum	southern white rhinoceros (SDZICR_KB13650 2012 genbank)	73337	mammals(L)
GCA_000292845.1	OchPri3.0	Ochotona princeps	American pika 3.0 (2012 Broad genbank)	9978	mammals(L)
GCA_000296755.1	EriEur2.0	Erinaceus europaeus	western European hedgehog (2012 genbank)	9365	mammals(L)
GCA_000297895.2	ASM29789v2	Crassostrea gigas	Pacific oyster (BGI 05x7-T-G4-1.051 20 2019)	29159	invertebrate
GCA_000298735.2	Oar_v4.0	Ovis aries	sheep	9940	mammals
GCA_000311805.2	CB1	Camelus ferus	wild Bactrian camel (CB1 Naran 2013 genbank)	419612	mammals(L)
GCA_000313985.1	EchTel2.0	Echinops telfairi	small Madagascar hedgehog	9371	mammals(L)
GCA_000340355.2	Leishmania_braziliensis_M2903-1.0.6	Leishmania braziliensis MHOM/BR/75/M2903	Leishmania braziliensis (MHOM/BR/75/M2903 2016 kinetoplastids)	1295825	invertebrate
GCA_000349665.1	MesAur1.0	Mesocricetus auratus	golden hamster (Baylor 2013 genbank)	10036	mammals(L)
GCA_000349705.1	LepWed1.0	Leptonychotes weddellii	Weddell seal (WS11-02 2013 genbank)	9713	mammals(L)
GCA_000364345.1	Macaca_fascicularis_5.0	Macaca fascicularis	crab-eating macaque WashU 2013 genbank	9541	primates(L)
GCA_000400835.1	PHO1.0	Pantholops hodgsonii	chiru	59538	mammals
GCA_000409795.2	Chlorocebus_sabeus_1.1	Chlorocebus sabaeus	green monkey 1994-021 (2014 genbank)	60711	primates(L)
GCA_000442215.1	Lipotes_vexillifer_v1	Lipotes vexillifer	Yangtze River dolphin (BGI 2013 genbank)	118797	mammals(L)
GCA_000464555.1	PanTig1.0	Panthera tigris altaica	Amur tiger (TaeGuk 2013 genbank)	74533	mammals(L)
GCA_000465285.1	ASM46528v1	Eidolon helvum	straw-colored fruit bat	77214	mammals
GCA_000465405.1	ASM46540v1	Pteronotus parnellii	Parnell's mustached bat	59476	mammals
GCA_000471725.1	UMD_CASPUR_WB_2.0	Bubalus bubalis	water buffalo (Mediterranean 2013)	89462	mammals(L)
GCA_000493695.1	BalAcu1.0	Balaenoptera acutorostrata scammoni	minke whale (2013 genbank)	310752	mammals(L)
GCA_000622305.1	S.galili_v1.0	Nannospalax galili	Upper Galilee mountains blind mole rat (#2095 2014 genbank)	1026970	mammals(L)
GCA_000687225.1	UrsMar_1.0	Ursus maritimus	polar bear (Baiyulong BGI 2014 genbank)	29073	mammals(L)
GCA_000688575.1	CavAp1.0	Cavia aperea	Brazilian guinea pig	37548	mammals
GCA_000696695.1	Burgud	Equus przewalskii	Przewalski's horse (Burgud 2014 genbank)	9798	mammals(L)
GCA_000738955.1	M_pentadactyla-1.1.1	Manis pentadactyla	Chinese pangolin (MPE899 2014 WashU)	143292	mammals
GCA_000754665.1	Bison_UMD1.0	Bison bison bison	American bison (2014 genbank)	43346	mammals(L)
GCA_000767525.1	Vi_pacos_V1.0	Vicugna pacos huacaya	alpaca (2015 BGI)	273913	mammals(L)
GCA_000767585.1	PRJNA234474_Ca_dromedarius_V1.0	Camelus dromedarius	Arabian camel (2014 genbank)	9838	mammals(L)
GCA_000767855.1	Ca_bactrianus_MBC_1.0	Camelus bactrianus	Bactrian camel (Alxa 2014 genbank)	9837	mammals(L)
GCA_000769185.1	Rrox_v1	Rhinopithecus roxellana	golden snub-nosed monkey (2014 Novogene)	61622	primates(L)
GCA_000772875.3	Mmul_8.0.1	Macaca mulatta	Rhesus monkey (2015 Baylor)	9544	primates(L)
GCA_000952055.2	Anan_2.0	Aotus nancymaae	Ma's night monkey genbank	37293	primates(L)
GCA_000956105.1	Pcoq_1.0	Propithecus coquereli	Coquerel's sifaka 6110/Marcella (2015 genbank)	379532	primates(L)
GCA_000978405.1	CapAeg_1.0	Capra aegagrus	wild goat	9923	mammals
GCA_000978805.1	ASM97880v1	Balaenoptera bonaerensis	Antarctic minke whale	33556	mammals
GCA_001262665.1	Eflavifronsk33QCA	Eulemur flavifrons	Sclater's lemur (Harlow 2015)	87288	primates
GCA_001305755.1	ASM130575v1	Equus asinus	ass (Maral har 2015 genbank)	9793	mammals(L)
GCA_001443585.1	aciJub1	Acinonyx jubatus	cheetah (AJU 981 2015)	32536	mammals(L)
GCA_001624185.1	129S1_SvImJ_v1	Mus musculus	house mouse 129S1_SvImJ	10090	mammals
GCA_001624215.1	A_J_v1	Mus musculus	house mouse A_J	10090	mammals
GCA_001624295.1	AKR_J_v1	Mus musculus	house mouse AKR_J	10090	mammals
GCA_001624445.1	CAST_EiJ_v1	Mus musculus castaneus	house mouse CAST_EiJ	10091	mammals
GCA_001624475.1	CBA_J_v1	Mus musculus	house mouse CBA_J	10090	mammals
GCA_001624505.1	DBA_2J_v1	Mus musculus	house mouse DBA_2J	10090	mammals
GCA_001624535.1	FVB_NJ_v1	Mus musculus	house mouse FVB_NJ	10090	mammals
