count	common name and view in browser	scientific name and data download	NCBI assembly	BioSample	BioProject	assembly date, source link	class VGP link
1	Abyssinian ground-hornbill	Bucorvus abyssinicus	GCA_009769605.1_bBucAby1.pri	SAMN12614799	PRJNA561887	2019-12-23	birds
2	American flamingo	Phoenicopterus ruber ruber	GCA_009819775.1_bPhoRub2.pri	SAMN12614931	PRJNA561888	2019-12-31	birds
3	American shad	Alosa sapidissima	GCF_018492685.1_fAloSap1.pri	SAMN18857608	PRJNA728145	2021-05-25	fish
4	Anna's hummingbird	Calypte anna	GCA_003957555.2_bCalAnn1_v1.p	SAMN02265252	PRJNA489139	2019-05-16	birds
5	Asian bonytongue	Scleropages formosus	GCF_900964775.1_fSclFor1.1	SAMEA4872123	PRJEB31995	2019-04-11	fish
6	Atlantic cod	Gadus morhua	GCF_902167405.1_gadMor3.0	SAMEA5574046	PRJEB33455	2019-07-16	fish
7	Atlantic halibut (refseq)	Hippoglossus hippoglossus	GCF_009819705.1_fHipHip1.pri	SAMN12629501	PRJNA562001	2019-12-31	fish
8	Australian echidna	Tachyglossus aculeatus	GCF_015852505.1_mTacAcu1.pri	SAMN12634963	PRJNA607237	2020-12-09	mammals
9	banded archerfish	Toxotes jaculatrix	GCF_017976425.1_fToxJac2.pri	SAMN18445299	PRJNA717046	2021-04-15	fish
10	barn swallow	Hirundo rustica	GCF_015227805.1_bHirRus1.pri.v2	SAMN14675488	PRJNA636192	2021-03-02	birds
11	blackcap	Sylvia atricapilla	GCA_009819655.1_bSylAtr1.pri	SAMN12369542	PRJNA558064	2019-12-31	birds
12	blue whale	Balaenoptera musculus	GCF_009873245.2_mBalMus1.pri.v3	SAMN12287136	PRJNA554522	2020-10-02	mammals
13	blunt-snouted clingfish	Gouania willdenowi	GCF_900634775.1_fGouWil2.1	SAMEA104026382	PRJEB30359	2019-02-06	fish
14	Boeseman's rainbowfish	Melanotaenia boesemani	GCF_017639745.1_fMelBoe1.pri	SAMN12623618	PRJNA561965	2021-03-30	fish
15	brown argus butterfly	Aricia agestis	GCF_905147365.1_ilAriAges1.1	SAMEA7523300	PRJEB41901	2021-01-28	insects
16	California sea lion	Zalophus californianus	GCF_009762305.2_mZalCal1.pri.v2	SAMN12368149	PRJNA559673	2020-07-14	mammals
17	Canada lynx	Lynx canadensis	GCF_007474595.2_mLynCan4.pri.v2	SAMN09948483	PRJNA489107	2020-07-14	mammals
18	carmine bee-eater	Merops nubicus	GCA_009819595.1_bMerNub1.pri	SAMN12621035	PRJNA561894	2019-12-31	birds
19	channel bull blenny	Cottoperca gobio	GCF_900634415.1_fCotGob3.1	SAMEA104242975	PRJEB30248	2019-02-06	fish
